dealer,brand,name,price,year,url
webbs,Triumph,TRIUMPH TIGER 1200 RALLY PRO,11999,,https://webbsmotorcycles.co.uk/triumph-tiger-1200-rally-pro-20123-2061/
webbs,Triumph,TRIUMPH TIGER 660 SPORT,9445,,https://webbsmotorcycles.co.uk/triumph-tiger-660-sport-13040-2191/
webbs,Triumph,TRIUMPH TIGER 660 SPORT,9445,,https://webbsmotorcycles.co.uk/triumph-tiger-660-sport-13040-2190/
webbs,Triumph,TRIUMPH TIGER 660 SPORT,6499,,https://webbsmotorcycles.co.uk/triumph-tiger-660-sport-13040-2249/
webbs,Triumph,TRIUMPH TIGER 660 SPORT,7499,,https://webbsmotorcycles.co.uk/triumph-tiger-660-sport-13040-2251/
webbs,Triumph,TRIUMPH TIGER 800 ABS,3999,,https://webbsmotorcycles.co.uk/triumph-tiger-800-abs-13040-2039/
webbs,Triumph,TRIUMPH TIGER 900 ALPINE EDITION,14395,,https://webbsmotorcycles.co.uk/triumph-tiger-900-alpine-edition-20123-2097/
webbs,Triumph,TRIUMPH TIGER 900 GT PRO,7999,,https://webbsmotorcycles.co.uk/triumph-tiger-900-gt-pro-13040-2181/
webbs,Triumph,TRIUMPH TIGER 900 GT PRO,6799,,https://webbsmotorcycles.co.uk/triumph-tiger-900-gt-pro-20123-2188/
webbs,Triumph,TRIUMPH TIGER 900 GT PRO,8999,,https://webbsmotorcycles.co.uk/triumph-tiger-900-gt-pro-20123-2142/
webbs,Triumph,TRIUMPH TIGER 900 RALLY PRO,12499,,https://webbsmotorcycles.co.uk/triumph-tiger-900-rally-pro-13040-2342/
webbs,Triumph,TRIUMPH TIGER 900 RALLY PRO,9499,,https://webbsmotorcycles.co.uk/triumph-tiger-900-rally-pro-13040-2228/
webbs,Triumph,TRIUMPH TIGER 900 RALLY PRO,7999,,https://webbsmotorcycles.co.uk/triumph-tiger-900-rally-pro-20123-1452/
webbs,Triumph,TRIUMPH TIGER SPORT 1050,5299,,https://webbsmotorcycles.co.uk/triumph-tiger-sport-1050-20123-2158/
