lot_id,auction_id,sale_date,year,make,model,engine_cc,odometer,sold_price,hammer_price,lot_name
REC17026-1,263,2026-05-09,1926,Raleigh,Model 20,348,,4370,3800,1926 Raleigh Model 20 348cc
REC17029-1,263,2026-05-12,1954,Ariel,Square Four,997,,6900,6000,1954 Ariel Square Four 997cc
REC17032-1,263,2026-05-15,1938,Rudge,Sports Special,498,,8970,7800,1938 Rudge Sports Special 498cc
REC17035-1,263,2026-05-16,1977,Suzuki,Gt750B,738,,7762,6750,1977 Suzuki GT750B 738cc
REC17032-2,263,2026-05-18,1956,Norton,Dominator 99,600,,3680,3200,1956 Norton Dominator 99 596cc
REC17038-1,263,2026-05-18,2013,Motolug,Se Collapsible Single-Bike Trailer,,,805,700,c.2013 Motolug SE Collapsible Single Bike Trailer
REC17052-1,263,2026-05-22,1957,Bsa,B33,500,,3450,3000,1957 BSA B33 500 499cc
REC17052-2,263,2026-05-22,1987,Bmw,R80Rt,798,,3450,3000,1987 BMW R80RT 798cc
REC17052-3,263,2026-05-22,1969,Norton Triton,750Cc Slimline,750,,3220,2800,1969 Norton Dominator 750 Triton 744cc
REC17053-2,263,2026-05-22,2004,Honda,Z50 Chrome Limited Edition Monkey,49,,2587,2250,2004 Honda Z50 Chrome Limited Edition Monkey 49cc
REC17053-3,263,2026-05-22,1975,Kawasaki,H2 Custom,748,,7475,6500,1975 Kawasaki H2 Custom 748cc
REC17054-1,263,2026-05-22,1938,Bmw,R35,348,,6900,6000,1938 BMW R35 German WW2 Military Bike 342cc
REC17059-1,263,2026-05-27,1951,Excelsior,Super Autobyk G2,98,,517,450,1951 Excelsior Super Autobyk G2 98cc
REC17059-2,263,2026-05-27,1966,Velocette,Le,,,483,420,1966 Velocette LE Mk III 192cc
REC17060-1,263,2026-05-27,1930,Scott,Sports Squirrel,498,,5635,4900,1930 Scott Sports Squirrel 498cc
REC17063-1,263,2026-05-29,1971,Yamaha,At1,123,,2185,1900,1971 Yamaha AT1 123cc
REC17065-1,263,2026-05-29,1977,Suzuki,Gt500,493,,5980,5200,1977 Suzuki GT500 492cc
REC17074-1,263,2026-05-30,1989,Yamaha,Rc350Lc F2 Ypvs,347,,5060,4400,1989 Yamaha RD350LC F2 YPVS 347cc
REC17074-2,263,2026-05-30,1991,Honda,Vfr750Fl Rc36,748,,2875,2500,1991 Honda VFR750FL RC36 748cc
REC17048-1,263,2026-05-31,1989,Honda,Honda Vfr750R-K Rc30,748,1143,34500,30000,"1989 Honda VFR750R-K Type RC30 748cc -1,144 Miles"
REC17076-1,263,2026-06-02,2012,Triumph,Bonneville T100 Steve Mcqueen,865,,5520,4800,"2012 Triumph Bonneville T100 Steve McQueen 865cc - #414/1,100"
REC17083-1,263,2026-06-03,1982,Bmw,R100Rt,6233293,,552,480,1982 BMW R100RT 980cc
REC17088-2,263,2026-06-04,1949,Sunbeam,S8,487,,2300,2000,1949 Sunbeam S8 487cc
REC17088-4,263,2026-06-04,1951,Bsa,C11,249,,1150,1000,1951 BSA C11 249cc
REC17090-1,263,2026-06-05,1957,Norton,International Model 30,,,9200,8000,1957 Norton International Model 30 490cc
REC17095-1,263,2026-06-08,1952,Ariel,Square Four,997,,4370,3800,1952 Ariel Square Four 997cc
REC17096-1,263,2026-06-08,1977,Harris,Kawasaki Endurance Race Bike,1000,,2875,2500,"c.1977 Harris Kawasaki 'Endurance' Race Bike 1,000cc"
REC17098-1,263,2026-06-08,1996,Triumph,Daytona 900 Cafe Racer,885,,2530,2200,1996 Triumph Daytona 900 Café Racer 885cc
REC17099-1,263,2026-06-08,1956,Ariel,Trials,490,,3450,3000,1956 Ariel Trials Bike 490cc
REC17099-2,263,2026-06-08,1972,Norton,Commando,745,,2990,2600,1972 Norton Commando 745cc
REC17106-1,263,2026-06-10,1952,Bsa,M33,498,,287,250,1952 BSA M33 Project 498cc
REC17106-2,263,2026-06-10,2000,Triumph,955I Daytona,955,,2070,1800,2000 Triumph 955i Daytona 955cc
REC17106-3,263,2026-06-10,2007,Harley-Davidson,Fxdc Dyna Super Glide Custom,1584,,5175,4500,"2007 Harley-Davidson FXDC Dyna Super Glide Custom 1,584cc"
REC17106-4,263,2026-06-10,2005,Honda,Vtr1000 Sp-2,999,,9200,8000,2005 Honda VTR1000 SP-2 999cc
REC17106-5,263,2026-06-10,1974,Norton,850 Commando,828,,4830,4200,1974 Norton 850 Commando 828cc
REC17032-3,263,2026-06-12,1951,Bsa,A7,495,,2070,1800,1951 BSA A7 495cc
REC17089-3,263,2026-06-12,1979,Ducati,900Sd Darmah,864,,4830,4200,1979 Ducati 900 SD 'Darmah' 864cc
REC17122-1,263,2026-06-12,1978,Honda,Cb750K2,736,,3220,2800,1978 Honda CB750 K7 736cc
REC17123-1,263,2026-06-12,1980,Fantic,Fm350 Trials 200,159,,1150,1000,1980 Fantic FM350 Trials 200 159cc
REC17123-2,263,2026-06-12,1968,Bsa,Bantam D14B,173,,1610,1400,c.1968 BSA Bantam D14B Trials Bike 173cc
REC17127-1,263,2026-06-12,1983,Honda,Xl125R,124,,3910,3400,1983 Honda XL125R 124cc
REC17123-3,263,2026-06-15,1982,Honda,Xl185S,180,,632,550,1982 Honda XL185S 180cc
REC17132-1,263,2026-06-15,1928,Rudge,Super Sports,499,,7475,6500,1928 Rudge Super Sports 499cc
